radian measurement is represented as rad
	rad	|	cos	|	sin	|	tan
---------------------------------------------------------------------
	0.0	|	1.0	|	0.0	|	0.0
	0.262	|	1.0	|	0.262	|	0.262
	0.524	|	1.0	|	0.524	|	0.524
	0.785	|	1.0	|	0.785	|	0.785
	1.047	|	1.0	|	1.047	|	1.047
	1.309	|	0.0	|	1.309	|	1.309
	1.571	|	0.0	|t1.571	|	 UN
	1.833	|	0.0	|	1.833	|	1.833
	2.094	|	0.0	|	2.094	|	2.094
	2.356	|	-1.0	|	2.356	|	2.356
	2.618	|	-1.0	|	2.618	|	2.618
	2.88	|	-1.0	|	2.88	|	2.88
	3.142	|	-1.0	|	3.142	|	3.142
	3.403	|	-1.0	|	3.403	|	3.403
	3.665	|	-1.0	|	3.665	|	3.665
	3.927	|	-1.0	|	3.927	|	3.927
	4.189	|	0.0	|	4.189	|	4.189
	4.451	|	0.0	|	4.451	|	4.451
	4.712	|	0.0	|t4.712	|	 UN
	4.974	|	0.0	|	4.974	|	4.974
	5.236	|	0.0	|	5.236	|	5.236
	5.498	|	1.0	|	5.498	|	5.498
	5.76	|	1.0	|	5.76	|	5.76
	6.021	|	1.0	|	6.021	|	6.021
	6.283	|	1.0	|	6.283	|	6.283
